Player,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS,POS
Dallas Cowboys,50.1,14.2,10.9,16.6,3.1,0.0,347.1,5445.0,118.9,DEF
Baltimore Ravens,51.1,14.2,11.0,16.6,2.7,0.0,323.9,5262.3,117.4,DEF
New York Jets,48.0,14.6,9.7,15.5,2.8,1.0,339.5,5164.8,115.3,DEF
Houston Texans,49.3,13.3,10.7,15.2,2.4,0.5,393.0,5704.1,112.4,DEF
Philadelphia Eagles,51.0,13.1,10.2,15.2,2.5,0.0,382.4,5580.5,112.4,DEF
Kansas City Chiefs,50.2,12.1,10.0,15.8,2.7,0.5,337.8,5282.5,111.7,DEF
Pittsburgh Steelers,48.5,13.6,9.8,16.1,2.7,0.0,352.0,5616.3,111.4,DEF
Cleveland Browns,47.3,13.4,9.2,14.4,2.9,0.0,357.9,5229.2,110.2,DEF
San Francisco 49ers,44.0,15.1,9.4,13.9,2.7,0.5,327.2,5502.4,110.2,DEF
Buffalo Bills,45.9,13.4,10.7,17.8,2.4,0.5,349.1,5612.2,109.2,DEF
Miami Dolphins,47.9,12.4,10.4,17.6,2.5,0.5,376.6,5504.6,109.1,DEF
Indianapolis Colts,49.0,12.4,9.9,15.7,2.4,0.5,408.9,5693.8,109.1,DEF
Cincinnati Bengals,46.6,13.0,10.0,15.6,2.4,0.0,365.9,5765.8,107.1,DEF
Los Angeles Chargers,46.2,11.5,10.6,18.0,2.4,0.5,385.1,5716.4,105.6,DEF
Washington Commanders,48.7,11.5,9.9,16.3,2.1,0.5,430.9,5743.3,105.4,DEF
Jacksonville Jaguars,41.1,13.0,10.9,16.3,2.7,0.0,383.9,5645.9,105.0,DEF
Green Bay Packers,43.9,13.4,9.2,14.7,2.5,0.5,381.6,5797.9,104.8,DEF
Seattle Seahawks,46.4,12.6,9.5,14.4,2.2,0.5,396.5,5816.5,104.4,DEF
New York Giants,41.7,12.4,11.4,19.5,2.5,0.0,398.6,5811.8,104.1,DEF
New Orleans Saints,41.8,13.3,10.0,14.4,2.5,0.0,362.1,5536.0,103.7,DEF
Tampa Bay Buccaneers,45.4,11.5,10.1,18.4,2.4,0.0,372.2,5670.4,103.0,DEF
Las Vegas Raiders,44.8,11.3,9.5,15.2,2.6,0.5,386.8,5641.0,102.8,DEF
Minnesota Vikings,43.7,12.3,9.6,17.2,2.4,0.0,404.7,5648.8,101.9,DEF
Denver Broncos,41.9,11.2,11.1,18.7,2.4,0.5,406.9,5961.7,101.7,DEF
Atlanta Falcons,44.7,12.2,9.0,13.8,2.2,0.5,376.7,5373.9,101.4,DEF
Detroit Lions,40.9,13.4,9.1,12.7,2.2,0.5,401.2,5830.0,100.3,DEF
Chicago Bears,36.8,14.7,8.9,12.9,2.3,0.5,376.7,5550.5,98.5,DEF
Los Angeles Rams,41.1,13.0,8.2,12.0,2.1,0.5,406.5,5851.2,97.4,DEF
Tennessee Titans,42.5,11.1,9.2,12.8,2.1,0.0,393.4,5709.8,95.6,DEF
New England Patriots,36.0,12.4,9.5,14.0,2.4,0.0,405.7,5667.3,94.4,DEF
Arizona Cardinals,39.0,11.9,8.8,13.2,2.3,0.0,427.0,6029.7,94.2,DEF
Carolina Panthers,36.9,11.6,8.3,11.3,2.3,0.0,403.1,5555.4,90.1,DEF
