Player,FG,FGA,XPT,FPTS,POS
Younghoe Koo ATL,33.1,37.8,47.8,146.9,K
Justin Tucker BAL,31.5,35.5,46.7,141.3,K
Harrison Butker KC,30.5,34.5,47.3,138.7,K
Brandon Aubrey DAL,31.9,35.5,42.7,138.5,K
Jake Elliott PHI,29.3,32.8,47.6,135.5,K
Jason Myers SEA,31.5,36.6,38.9,133.5,K
Ka'imi Fairbairn HOU,29.9,33.9,42.1,131.9,K
Cameron Dicker LAC,30.0,32.9,41.4,131.4,K
Blake Grupe NO,29.8,34.9,40.7,130.2,K
Greg Zuerlein NYJ,30.4,34.8,38.3,129.6,K
Evan McPherson CIN,27.8,32.2,45.4,128.7,K
Tyler Bass BUF,27.6,33.8,45.8,128.5,K
Cairo Santos CHI,30.0,33.6,38.2,128.1,K
Jake Moody SF,26.7,31.5,47.8,128.0,K
Matt Gay IND,29.5,34.5,39.2,127.6,K
Jason Sanders MIA,27.2,32.2,44.9,126.4,K
Chase McLaughlin TB,28.2,32.2,38.3,122.8,K
Matt Prater ARI,28.9,33.6,35.3,121.9,K
Dustin Hopkins CLE,28.3,32.6,37.0,121.8,K
Cam Little JAC,28.2,33.9,36.8,121.4,K
Jake Bates DET,25.6,30.5,44.2,120.9,K
Joshua Karty LAR,27.5,33.5,38.1,120.6,K
Nick Folk TEN,27.7,30.6,32.2,115.3,K
Chris Boswell PIT,27.5,31.6,32.3,114.8,K
Wil Lutz DEN,27.1,32.3,32.1,113.3,K
Daniel Carlson LV,26.9,30.6,31.8,112.6,K
Will Reichard MIN,25.6,30.6,31.8,108.4,K
Eddy Pineiro CAR,25.9,30.6,29.7,107.6,K
Graham Gano NYG,25.0,30.0,29.6,104.5,K
Chad Ryland NE,22.8,29.3,27.4,95.9,K
Anders Carlson GB,21.7,27.2,26.7,91.7,K
Greg Joseph GB,19.0,28.0,22.0,79.0,K
Cade York WAS,15.3,19.3,19.0,65.0,K
