Player,REC,REC_YDS,REC_TDS,FL,FPTS,POS
Travis Kelce KC,89.5,966.5,7.5,0.8,230.4,TE
Sam LaPorta DET,86.3,893.6,7.7,0.4,221.2,TE
Mark Andrews BAL,71.9,869.8,7.9,0.5,205.3,TE
Trey McBride ARI,86.0,882.0,5.1,0.5,203.5,TE
Dalton Kincaid BUF,82.9,828.2,5.4,0.8,196.4,TE
George Kittle SF,65.4,881.2,6.0,0.4,188.8,TE
Evan Engram JAC,85.4,787.2,4.4,0.9,188.4,TE
Kyle Pitts ATL,67.8,875.5,5.2,0.4,185.4,TE
Jake Ferguson DAL,70.7,736.2,5.9,0.4,178.8,TE
David Njoku CLE,69.9,771.9,5.4,1.2,177.3,TE
Brock Bowers LV,62.8,696.7,4.6,1.1,157.8,TE
Dallas Goedert PHI,65.4,690.7,4.0,0.5,157.6,TE
Dalton Schultz HOU,57.3,610.9,4.9,0.8,146.1,TE
Pat Freiermuth PIT,58.1,605.6,4.4,0.5,144.1,TE
T.J. Hockenson MIN,59.7,595.1,3.3,0.8,137.5,TE
Tyler Conklin NYJ,54.0,539.0,3.4,0.1,127.9,TE
Cole Kmet CHI,50.1,495.4,4.1,0.4,123.5,TE
Hunter Henry NE,47.7,493.9,4.2,0.1,122.3,TE
Cade Otton TB,49.2,489.4,3.7,0.4,119.7,TE
Luke Musgrave GB,46.7,489.4,3.4,0.1,115.8,TE
Chigoziem Okonkwo TEN,48.2,513.5,2.7,0.4,114.9,TE
Noah Fant SEA,45.9,489.8,2.8,0.1,111.3,TE
Juwan Johnson NO,40.4,441.3,4.1,0.1,109.2,TE
Taysom Hill NO,27.5,261.5,2.0,0.3,109.2,TE
Isaiah Likely BAL,34.2,411.5,3.9,0.1,98.6,TE
Hayden Hurst LAC,40.5,390.7,2.9,0.1,96.6,TE
Jonnu Smith MIA,37.8,415.8,2.9,0.4,95.7,TE
Mike Gesicki CIN,36.4,356.9,3.1,0.1,90.9,TE
Zach Ertz WAS,38.4,356.0,2.7,0.1,90.1,TE
Ben Sinnott WAS,36.9,378.3,2.5,0.4,88.6,TE
Tucker Kraft GB,33.9,354.2,2.6,0.1,84.6,TE
Greg Dulcich DEN,33.8,375.6,1.9,0.1,82.8,TE
Tyler Higbee LAR,33.9,347.5,2.1,0.1,81.2,TE
Gerald Everett CHI,32.9,305.7,2.6,0.1,78.8,TE
Dawson Knox BUF,28.3,297.4,3.3,0.1,77.6,TE
Colby Parkinson LAR,29.7,314.2,2.5,0.1,75.8,TE
Daniel Bellinger NYG,32.7,311.6,1.9,0.1,75.3,TE
Theo Johnson NYG,32.3,312.9,2.0,0.6,74.4,TE
Ja'Tavion Sanders CAR,29.9,311.2,2.3,0.4,74.0,TE
Michael Mayer LV,29.6,317.4,2.0,0.1,73.3,TE
Tommy Tremble CAR,27.5,261.4,2.5,0.1,68.3,TE
Kylen Granson IND,27.0,292.6,1.8,0.1,66.9,TE
Noah Gray KC,22.6,237.0,1.7,0.1,56.6,TE
Robert Tonyan MIN,24.2,227.7,1.6,0.0,56.3,TE
Will Dissly LAC,23.3,225.6,1.5,0.1,54.7,TE
Mo Alie-Cox IND,16.5,186.1,2.0,0.0,47.0,TE
Durham Smythe MIA,19.5,190.1,1.3,0.0,46.1,TE
Tanner Hudson CIN,18.6,179.4,1.4,0.0,45.1,TE
Austin Hooper NE,19.6,185.3,0.9,0.0,43.6,TE
Donald Parham Jr. LAC,15.1,158.3,2.1,0.0,43.5,TE
Adam Trautman DEN,17.3,167.8,1.5,0.0,43.2,TE
Brevin Jordan HOU,14.6,183.5,1.7,0.0,43.1,TE
Jaheim Bell NE,16.5,172.0,1.5,0.0,42.7,TE
Jelani Woods IND,14.6,178.3,1.3,0.0,40.1,TE
Elijah Higgins ARI,16.3,177.8,1.0,0.0,39.9,TE
Brock Wright DET,15.7,149.5,1.5,0.1,39.7,TE
Jeremy Ruckert NYJ,16.2,161.2,1.2,0.1,39.4,TE
Josh Oliver MIN,16.1,156.6,1.2,0.4,38.3,TE
Johnny Mundt MIN,16.7,160.7,0.8,0.0,37.7,TE
Logan Thomas SF,14.0,143.0,1.0,0.0,34.3,TE
Connor Heyward PIT,15.3,137.6,0.7,0.0,33.4,TE
Davis Allen LAR,13.1,134.4,1.0,0.0,32.6,TE
Foster Moreau NO,12.5,139.0,1.0,0.0,32.5,TE
Josh Whyle TEN,12.5,127.9,1.1,0.0,31.6,TE
Will Mallory IND,12.3,131.0,0.9,0.0,30.9,TE
Jack Stoll NYG,13.1,121.9,0.9,0.0,30.7,TE
Pharaoh Brown SEA,12.0,131.9,0.9,0.0,30.7,TE
Devin Culp TB,12.0,124.0,1.0,0.0,30.4,TE
