Player,REC,REC_YDS,REC_TDS,ATT,RUSH_YDS,RUSH_TDS,FL,FPTS,POS
CeeDee Lamb DAL,116.1,1488.0,9.7,9.8,68.2,0.8,1.1,332.5,WR
Tyreek Hill MIA,110.2,1542.2,9.9,5.2,30.5,0.1,1.0,325.4,WR
Ja'Marr Chase CIN,106.6,1358.2,9.1,3.0,12.6,0.1,0.7,297.4,WR
Amon-Ra St. Brown DET,111.0,1354.2,8.2,4.5,31.1,0.1,0.9,297.4,WR
Justin Jefferson MIN,104.7,1441.3,7.4,1.2,3.9,0.0,1.0,291.7,WR
A.J. Brown PHI,93.5,1329.0,8.3,0.0,1.4,0.0,1.3,273.7,WR
Puka Nacua LAR,94.6,1297.4,7.2,8.9,54.7,0.2,0.7,272.6,WR
Garrett Wilson NYJ,95.1,1188.3,8.1,3.9,19.2,0.1,1.3,262.6,WR
Chris Olave NO,89.8,1205.0,6.5,0.0,1.0,0.0,0.6,248.3,WR
Marvin Harrison Jr. ARI,88.3,1177.6,6.8,0.5,3.6,0.0,1.5,244.2,WR
Davante Adams LV,93.1,1130.0,6.5,0.0,1.0,0.0,0.5,244.1,WR
Drake London ATL,87.8,1145.5,7.0,0.0,2.2,0.0,0.9,242.8,WR
Nico Collins HOU,78.4,1149.1,7.4,1.4,8.6,0.0,0.5,237.7,WR
Mike Evans TB,75.5,1119.9,8.4,0.0,1.2,0.0,0.5,236.9,WR
Cooper Kupp LAR,85.8,1059.5,7.3,2.9,17.4,0.1,0.5,236.4,WR
DeVonta Smith PHI,84.7,1082.3,7.1,0.0,1.2,0.0,0.9,233.8,WR
Michael Pittman Jr. IND,96.5,1061.6,5.0,0.3,3.0,0.0,1.0,231.1,WR
Deebo Samuel Sr. SF,67.0,925.7,5.9,33.9,199.4,3.0,1.0,230.8,WR
Jaylen Waddle MIA,81.4,1114.8,5.7,3.6,21.1,0.1,0.5,228.5,WR
DK Metcalf SEA,73.7,1068.6,8.1,0.0,1.2,0.0,0.5,228.1,WR
Brandon Aiyuk SF,74.2,1117.0,7.1,0.8,4.0,0.0,0.9,227.3,WR
Stefon Diggs HOU,85.0,1029.0,6.6,1.9,9.1,0.1,1.0,226.7,WR
DJ Moore CHI,75.5,1037.0,7.0,2.3,15.1,0.2,0.9,222.1,WR
Malik Nabers NYG,80.6,1075.6,5.8,0.5,5.0,0.0,1.2,221.3,WR
Amari Cooper CLE,73.2,1105.7,6.3,0.0,1.0,0.0,0.9,219.6,WR
Zay Flowers BAL,79.4,964.8,6.2,7.4,46.3,0.6,1.0,219.1,WR
George Pickens PIT,70.7,1088.6,6.1,2.6,16.9,0.0,0.9,216.0,WR
Chris Godwin TB,83.1,988.1,5.2,2.7,20.9,0.3,0.5,215.9,WR
Tee Higgins CIN,70.6,1013.1,7.3,0.0,1.0,0.0,0.5,214.8,WR
Christian Kirk JAC,80.9,1008.5,5.4,1.0,6.4,0.0,1.3,212.4,WR
Rashee Rice KC,78.1,926.1,7.1,1.5,7.0,0.0,1.0,212.1,WR
Tank Dell HOU,69.1,942.7,7.0,11.1,61.6,0.2,0.6,211.0,WR
Calvin Ridley TEN,70.4,963.6,6.9,2.9,14.8,0.0,0.5,208.5,WR
Terry McLaurin WAS,76.6,1021.0,4.7,0.3,2.2,0.0,0.5,205.9,WR
Keenan Allen CHI,79.3,889.8,5.6,1.0,6.3,0.0,1.0,200.5,WR
Diontae Johnson CAR,72.8,905.7,5.7,1.0,7.2,0.0,0.6,197.4,WR
Jayden Reed GB,64.1,796.9,5.9,8.9,73.4,1.2,0.6,192.3,WR
DeAndre Hopkins TEN,65.3,860.6,5.8,0.3,2.8,0.0,0.5,185.2,WR
Jaxon Smith-Njigba SEA,72.2,793.6,5.2,0.0,2.0,0.0,0.6,181.7,WR
Jordan Addison MIN,64.2,827.1,5.7,0.3,4.0,0.0,0.5,180.4,WR
Courtland Sutton DEN,63.8,820.5,5.8,0.0,1.2,0.0,1.3,178.4,WR
Rome Odunze CHI,62.2,846.8,5.3,1.0,6.4,0.0,1.1,177.5,WR
Ladd McConkey LAC,66.0,821.6,5.0,1.1,6.7,0.0,1.1,176.9,WR
Christian Watson GB,53.4,775.7,6.9,4.1,24.3,0.3,0.5,175.6,WR
Xavier Worthy KC,56.6,821.6,5.9,3.7,23.2,0.1,0.8,175.1,WR
Brian Thomas Jr. JAC,63.2,831.8,5.0,0.7,6.0,0.0,1.1,174.8,WR
Jerry Jeudy CLE,62.0,849.8,4.3,0.3,5.3,0.0,0.6,172.2,WR
Hollywood Brown KC,57.8,769.6,6.1,1.9,13.6,0.0,0.4,172.1,WR
Tyler Lockett SEA,65.5,757.3,5.1,0.0,1.2,0.0,0.5,171.1,WR
Joshua Palmer LAC,62.1,786.3,4.7,0.3,2.8,0.0,0.9,167.6,WR
Jakobi Meyers LV,64.7,728.9,4.6,2.4,15.6,0.3,0.5,167.5,WR
Curtis Samuel BUF,61.0,662.9,4.6,11.3,66.7,1.0,0.5,166.5,WR
Jameson Williams DET,53.8,758.6,4.7,4.5,42.0,0.7,0.6,165.4,WR
Adam Thielen CAR,69.2,695.5,4.5,0.3,3.0,0.0,0.6,164.7,WR
Khalil Shakir BUF,59.3,769.0,4.6,0.3,4.0,0.0,0.2,163.8,WR
Mike Williams NYJ,56.2,752.8,4.9,2.3,9.2,0.0,0.5,160.8,WR
Brandin Cooks DAL,56.2,687.7,5.6,3.4,20.5,0.1,0.5,159.9,WR
Keon Coleman BUF,55.8,745.3,5.0,1.0,4.8,0.0,1.1,158.5,WR
Romeo Doubs GB,55.9,687.0,5.6,0.0,1.5,0.0,0.5,157.3,WR
DeMario Douglas NE,60.9,737.0,3.2,8.4,44.1,0.1,0.9,157.1,WR
Gabe Davis JAC,49.6,733.7,5.4,0.3,1.3,0.0,0.9,153.9,WR
Rashid Shaheed NO,50.3,728.3,4.2,4.3,33.2,0.0,0.9,149.9,WR
Darnell Mooney ATL,50.9,706.7,4.1,2.1,12.1,0.1,0.2,147.6,WR
Ja'Lynn Polk NE,57.3,702.3,3.2,0.7,5.8,0.0,0.8,145.6,WR
Josh Downs IND,56.0,639.7,3.3,0.0,5.3,0.0,0.5,139.5,WR
Wan'Dale Robinson NYG,58.7,549.8,2.7,8.1,58.1,0.5,0.5,137.2,WR
Adonai Mitchell IND,48.2,653.4,3.7,0.7,4.8,0.0,0.8,134.8,WR
Michael Wilson ARI,49.0,641.4,3.7,0.0,1.3,0.0,0.2,134.8,WR
Dontayvion Wicks GB,45.6,609.6,4.7,0.3,3.8,0.0,0.5,134.3,WR
Demarcus Robinson LAR,46.2,592.5,4.4,0.3,7.8,0.0,0.6,131.5,WR
Rashod Bateman BAL,46.1,605.0,3.5,0.3,4.5,0.0,0.2,127.7,WR
Xavier Legette CAR,46.0,597.4,3.0,2.8,17.2,0.1,0.4,125.3,WR
Kendrick Bourne NE,46.5,562.9,3.5,2.3,15.8,0.0,0.5,124.5,WR
DJ Chark Jr. LAC,38.4,554.1,4.7,0.0,1.8,0.0,0.5,121.2,WR
Tim Patrick DEN,40.8,528.7,3.8,0.0,2.3,0.0,0.1,116.5,WR
Darius Slayton NYG,39.7,569.1,3.0,0.0,1.3,0.0,0.1,114.5,WR
Malachi Corley NYJ,42.6,482.7,3.3,4.4,30.0,0.2,0.1,114.3,WR
Luke McCaffrey WAS,43.3,516.2,2.6,2.0,15.5,0.0,0.4,111.2,WR
Jalen McMillan TB,42.2,502.4,3.2,0.7,7.5,0.0,0.7,110.6,WR
Tyler Boyd TEN,46.0,497.9,2.4,1.3,7.6,0.0,0.5,110.2,WR
Odell Beckham Jr. MIA,37.4,509.9,3.5,0.0,2.3,0.0,0.4,108.5,WR
Quentin Johnston LAC,39.2,488.7,3.1,1.7,6.8,0.0,0.1,107.3,WR
Marvin Mims Jr. DEN,39.0,501.9,2.6,3.9,22.4,0.1,0.2,106.9,WR
Ricky Pearsall SF,37.1,477.4,3.5,2.2,14.5,0.1,0.7,106.0,WR
Jermaine Burton CIN,38.0,482.3,3.2,0.7,4.3,0.0,0.7,104.2,WR
Jalin Hyatt NYG,39.6,501.0,2.3,0.0,1.0,0.0,0.3,103.3,WR
Roman Wilson PIT,36.6,474.1,2.8,0.7,10.0,0.0,0.4,100.9,WR
Jalen Tolbert DAL,36.9,456.9,3.0,0.0,2.3,0.0,0.2,100.1,WR
Tre Tucker LV,35.0,424.6,2.4,6.0,39.8,0.2,0.3,96.4,WR
Elijah Moore CLE,37.0,426.1,2.5,4.4,14.7,0.0,0.4,95.3,WR
Troy Franklin DEN,35.1,447.5,2.7,1.0,4.7,0.0,0.7,94.8,WR
Zay Jones ARI,38.1,403.8,2.7,0.3,3.0,0.0,0.5,93.9,WR
Greg Dortch ARI,38.0,387.8,2.4,3.2,21.2,0.1,0.1,93.3,WR
Jahan Dotson PHI,34.5,425.7,2.8,0.0,2.0,0.0,0.5,93.2,WR
Josh Reynolds DEN,33.1,428.4,2.9,0.0,1.3,0.0,0.4,92.5,WR
Andrei Iosivas CIN,33.7,393.2,3.0,0.0,3.3,0.0,0.2,91.1,WR
Ray-Ray McCloud III ATL,33.9,348.3,2.6,6.9,46.8,0.2,0.2,90.0,WR
Jonathan Mingo CAR,34.5,404.6,2.0,0.0,3.0,0.0,0.1,87.0,WR
Dyami Brown WAS,26.6,367.2,2.3,0.0,2.0,0.0,0.0,77.3,WR
Treylon Burks TEN,26.9,357.6,1.8,1.8,18.7,0.1,0.6,74.3,WR
Cedrick Wilson Jr. NO,25.6,319.8,2.6,0.3,2.3,0.0,0.1,73.5,WR
Trey Palmer TB,26.9,321.9,2.0,4.2,20.2,0.1,0.2,73.2,WR
Parker Washington JAC,27.0,288.4,2.1,0.0,6.0,0.0,0.0,69.3,WR
Van Jefferson PIT,24.1,326.8,1.9,0.0,4.0,0.0,0.1,68.3,WR
Alec Pierce IND,22.6,341.5,1.9,0.0,1.3,0.0,0.0,68.2,WR
Cedric Tillman CLE,24.7,313.3,2.0,0.0,1.7,0.0,0.2,67.6,WR
Calvin Austin III PIT,24.9,288.8,1.6,4.5,36.2,0.1,0.2,67.5,WR
Devontez Walker BAL,23.8,291.5,2.2,0.0,3.5,0.0,0.0,66.1,WR
Nelson Agholor BAL,23.3,291.9,2.1,0.0,2.0,0.0,0.1,65.2,WR
KaVontae Turpin DAL,18.7,220.2,2.7,8.7,66.9,0.4,0.4,64.9,WR
Kalif Raymond DET,23.7,287.0,1.6,2.2,24.6,0.1,0.2,64.3,WR
A.T. Perry NO,20.0,296.6,2.3,0.3,1.8,0.0,0.0,63.7,WR
Jalen Nailor MIN,23.8,296.9,1.5,0.0,0.3,0.0,0.0,62.3,WR
Jauan Jennings SF,21.5,264.8,1.7,0.0,3.3,0.0,0.1,58.3,WR
Xavier Gipson NYJ,19.1,218.4,1.6,4.6,32.6,0.2,0.1,54.4,WR
Javon Baker NE,20.3,243.7,1.4,0.0,7.3,0.0,0.0,53.4,WR
Tutu Atwell LAR,18.4,242.4,1.2,2.2,14.1,0.1,0.1,51.8,WR
K.J. Osborn NE,18.1,222.6,1.4,0.0,2.0,0.0,0.0,48.6,WR
Brandon Johnson DEN,14.4,190.6,2.5,0.0,2.3,0.0,0.0,48.4,WR
KhaDarel Hodge ATL,17.0,226.6,1.4,0.0,0.0,0.0,0.2,47.6,WR
Trenton Irwin CIN,17.1,218.0,1.5,0.0,1.5,0.0,0.1,47.6,WR
Noah Brown HOU,15.4,213.0,1.4,0.0,1.0,0.0,0.1,45.3,WR
Olamide Zaccheaus WAS,15.9,195.4,1.2,0.0,5.0,0.0,0.0,43.3,WR
Lil'Jordan Humphrey DEN,12.0,156.8,2.6,0.0,0.0,0.0,0.0,43.2,WR
Jake Bobo SEA,15.0,174.0,1.3,4.2,18.4,0.2,0.1,42.7,WR
Quez Watkins PIT,14.0,196.0,1.0,0.0,5.0,0.0,0.0,40.1,WR
Mack Hollins BUF,13.8,177.4,1.3,0.0,0.0,0.0,0.0,39.0,WR
Bub Means NO,13.2,160.0,1.1,0.0,0.0,0.0,0.0,35.5,WR
Brandon Powell MIN,14.4,143.6,0.9,1.9,14.6,0.0,0.1,35.3,WR
Tyquan Thornton NE,12.8,159.9,0.9,1.0,6.6,0.0,0.1,34.5,WR
Kadarius Toney KC,11.0,121.5,0.8,7.5,44.4,0.2,0.1,33.9,WR
Justin Watson KC,11.3,158.6,1.1,0.0,0.0,0.0,0.1,33.8,WR
Cornelius Johnson LAC,11.0,166.0,1.0,0.0,0.0,0.0,0.0,33.6,WR
Jamison Crowder WAS,14.4,144.3,0.8,0.0,0.0,0.0,0.1,33.6,WR
Malik Washington MIA,11.7,145.2,0.9,2.1,13.3,0.1,0.0,33.0,WR
Ryan Flournoy DAL,12.0,141.2,1.1,0.0,0.0,0.0,0.0,32.5,WR
Allen Lazard NYJ,11.3,146.8,1.1,0.0,0.7,0.0,0.1,32.5,WR
Jamari Thrash CLE,11.0,141.0,1.0,0.0,6.0,0.0,0.0,31.7,WR
Johnny Wilson PHI,11.9,141.2,0.9,0.0,2.5,0.0,0.0,31.4,WR
Mason Tipton NO,12.0,131.0,1.0,0.0,0.0,0.0,0.0,31.1,WR
Jacob Cowing SF,11.0,134.0,1.0,0.0,6.0,0.0,0.0,31.0,WR
Tahj Washington MIA,11.0,131.0,1.0,0.0,0.0,0.0,0.0,30.1,WR
Marquez Valdes-Scantling BUF,9.0,139.4,1.1,0.0,1.0,0.0,0.0,29.3,WR
Casey Washington ATL,10.6,128.0,1.0,0.0,0.0,0.0,0.0,29.3,WR
Marcus Rosemy-Jacksaint WAS,10.0,126.0,1.0,0.0,6.0,0.0,0.0,29.2,WR
Tejhaun Palmer ARI,11.0,122.0,1.0,0.0,0.0,0.0,0.0,29.2,WR
