Player,POS,ATT,CMP,PASS_YDS,PASS_TDS,INTS,RUSH_ATT,RUSH_YDS,RUSH_TDS,FL,FPTS,REC,REC_YDS,REC_TDS,FG,FGA,XPT,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN
Jalen Hurts PHI,QB,520.2,339.7,3810.4,24.4,12.1,145.3,624.2,11.3,3.8,360.5,,,,,,,,,,,,,,
Josh Allen BUF,QB,564.7,368.0,4060.0,27.8,14.0,108.2,556.7,8.9,4.0,360.2,,,,,,,,,,,,,,
Lamar Jackson BAL,QB,463.6,303.7,3567.1,25.0,10.6,146.1,836.1,5.4,4.4,339.2,,,,,,,,,,,,,,
Patrick Mahomes II KC,QB,584.8,392.2,4371.2,32.7,11.2,72.0,376.4,1.8,3.1,336.6,,,,,,,,,,,,,,
Anthony Richardson IND,QB,511.7,325.6,3503.9,20.0,11.4,127.6,646.0,7.9,5.0,310.4,,,,,,,,,,,,,,
Dak Prescott DAL,QB,573.9,386.3,4190.3,30.8,12.0,51.9,221.3,2.0,2.8,307.5,,,,,,,,,,,,,,
C.J. Stroud HOU,QB,556.8,362.5,4336.3,29.4,10.1,43.8,183.8,2.4,3.6,306.0,,,,,,,,,,,,,,
Joe Burrow CIN,QB,580.8,389.2,4242.2,30.2,11.5,56.7,191.4,2.1,3.1,304.7,,,,,,,,,,,,,,
Kyler Murray ARI,QB,530.4,353.5,3706.0,21.8,12.1,96.1,530.7,5.2,2.6,302.2,,,,,,,,,,,,,,
Jordan Love GB,QB,545.5,355.1,3988.1,29.4,11.5,45.7,200.3,2.4,3.0,294.0,,,,,,,,,,,,,,
Brock Purdy SF,QB,498.0,336.1,4075.9,29.6,10.8,43.5,159.9,1.9,2.6,293.0,,,,,,,,,,,,,,
Jayden Daniels WAS,QB,544.9,339.7,3582.5,20.2,13.9,114.0,592.2,5.0,4.4,290.3,,,,,,,,,,,,,,
Trevor Lawrence JAC,QB,566.2,373.3,3983.6,24.3,12.5,66.1,306.2,3.5,4.8,286.1,,,,,,,,,,,,,,
Caleb Williams CHI,QB,532.2,346.4,3781.3,25.3,13.4,77.5,361.2,3.3,4.3,286.0,,,,,,,,,,,,,,
Justin Herbert LAC,QB,544.1,355.8,3846.8,24.5,9.9,64.6,262.8,2.7,3.0,278.4,,,,,,,,,,,,,,
Deshaun Watson CLE,QB,544.7,334.4,3746.9,22.9,13.3,77.1,385.3,3.2,3.8,277.9,,,,,,,,,,,,,,
Jared Goff DET,QB,568.9,383.7,4231.0,28.1,10.6,24.6,55.7,1.1,3.1,277.0,,,,,,,,,,,,,,
Tua Tagovailoa MIA,QB,544.9,370.7,4269.7,27.3,12.5,31.8,88.8,0.6,3.8,272.5,,,,,,,,,,,,,,
Kirk Cousins ATL,QB,533.3,349.6,4016.0,27.0,10.5,34.0,99.7,1.4,4.5,267.9,,,,,,,,,,,,,,
Baker Mayfield TB,QB,561.9,355.0,3940.6,25.7,11.9,51.9,171.1,1.5,3.3,267.7,,,,,,,,,,,,,,
Matthew Stafford LAR,QB,552.7,355.3,4125.4,26.8,12.5,23.4,66.0,0.6,2.2,265.6,,,,,,,,,,,,,,
Aaron Rodgers NYJ,QB,544.3,359.7,3839.9,26.2,9.0,33.2,109.7,1.3,2.7,262.8,,,,,,,,,,,,,,
Geno Smith SEA,QB,522.5,342.4,3753.9,24.1,11.9,50.6,203.9,1.7,3.1,259.2,,,,,,,,,,,,,,
Will Levis TEN,QB,512.8,321.9,3715.4,22.1,12.6,53.9,185.5,2.2,4.2,248.0,,,,,,,,,,,,,,
Daniel Jones NYG,QB,493.8,322.5,3224.3,16.6,10.6,95.0,469.1,3.5,3.6,245.4,,,,,,,,,,,,,,
Derek Carr NO,QB,544.5,363.5,3843.5,24.5,10.9,24.7,71.1,0.5,3.2,244.4,,,,,,,,,,,,,,
Sam Darnold MIN,QB,540.8,343.7,3720.4,22.0,14.5,44.0,171.4,2.1,4.1,243.7,,,,,,,,,,,,,,
Bo Nix DEN,QB,496.8,310.1,3211.7,19.0,12.1,61.4,280.6,2.4,3.6,227.4,,,,,,,,,,,,,,
Bryce Young CAR,QB,531.3,333.0,3449.8,19.2,11.9,43.0,237.1,1.2,3.5,227.1,,,,,,,,,,,,,,
Russell Wilson PIT,QB,430.8,274.3,2941.2,18.0,9.2,64.4,298.6,2.4,3.5,217.6,,,,,,,,,,,,,,
Gardner Minshew II LV,QB,414.1,259.6,2780.0,16.0,10.3,34.0,122.3,1.8,2.9,182.0,,,,,,,,,,,,,,
Drake Maye NE,QB,364.5,230.5,2652.0,14.0,11.0,49.1,233.4,1.9,2.5,181.0,,,,,,,,,,,,,,
Justin Fields PIT,QB,115.3,70.7,790.4,4.4,3.1,42.5,221.7,1.8,1.5,76.0,,,,,,,,,,,,,,
