Player,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS
Dallas Cowboys,50.1,14.2,10.9,16.6,3.1,0.0,347.1,"5,445.0",118.9
Baltimore Ravens,51.1,14.2,11.0,16.6,2.7,0.0,323.9,"5,262.3",117.4
New York Jets,48.0,14.6,9.7,15.5,2.8,1.0,339.5,"5,164.8",115.3
Houston Texans,49.3,13.3,10.7,15.2,2.4,0.5,393.0,"5,704.1",112.4
Philadelphia Eagles,51.0,13.1,10.2,15.2,2.5,0.0,382.4,"5,580.5",112.4
Kansas City Chiefs,50.2,12.1,10.0,15.8,2.7,0.5,337.8,"5,282.5",111.7
Pittsburgh Steelers,48.5,13.6,9.8,16.1,2.7,0.0,352.0,"5,616.3",111.4
Cleveland Browns,47.3,13.4,9.2,14.4,2.9,0.0,357.9,"5,229.2",110.2
San Francisco 49ers,44.0,15.1,9.4,13.9,2.7,0.5,327.2,"5,502.4",110.2
Buffalo Bills,45.9,13.4,10.7,17.8,2.4,0.5,349.1,"5,612.2",109.2
Miami Dolphins,47.9,12.4,10.4,17.6,2.5,0.5,376.6,"5,504.6",109.1
Indianapolis Colts,49.0,12.4,9.9,15.7,2.4,0.5,408.9,"5,693.8",109.1
Cincinnati Bengals,46.6,13.0,10.0,15.6,2.4,0.0,365.9,"5,765.8",107.1
Los Angeles Chargers,46.2,11.5,10.6,18.0,2.4,0.5,385.1,"5,716.4",105.6
Washington Commanders,48.7,11.5,9.9,16.3,2.1,0.5,430.9,"5,743.3",105.4
Jacksonville Jaguars,41.1,13.0,10.9,16.3,2.7,0.0,383.9,"5,645.9",105.0
Green Bay Packers,43.9,13.4,9.2,14.7,2.5,0.5,381.6,"5,797.9",104.8
Seattle Seahawks,46.4,12.6,9.5,14.4,2.2,0.5,396.5,"5,816.5",104.4
New York Giants,41.7,12.4,11.4,19.5,2.5,0.0,398.6,"5,811.8",104.1
New Orleans Saints,41.8,13.3,10.0,14.4,2.5,0.0,362.1,"5,536.0",103.7
Tampa Bay Buccaneers,45.4,11.5,10.1,18.4,2.4,0.0,372.2,"5,670.4",103.0
Las Vegas Raiders,44.8,11.3,9.5,15.2,2.6,0.5,386.8,"5,641.0",102.8
Minnesota Vikings,43.7,12.3,9.6,17.2,2.4,0.0,404.7,"5,648.8",101.9
Denver Broncos,41.9,11.2,11.1,18.7,2.4,0.5,406.9,"5,961.7",101.7
Atlanta Falcons,44.7,12.2,9.0,13.8,2.2,0.5,376.7,"5,373.9",101.4
Detroit Lions,40.9,13.4,9.1,12.7,2.2,0.5,401.2,"5,830.0",100.3
Chicago Bears,36.8,14.7,8.9,12.9,2.3,0.5,376.7,"5,550.5",98.5
Los Angeles Rams,41.1,13.0,8.2,12.0,2.1,0.5,406.5,"5,851.2",97.4
Tennessee Titans,42.5,11.1,9.2,12.8,2.1,0.0,393.4,"5,709.8",95.6
New England Patriots,36.0,12.4,9.5,14.0,2.4,0.0,405.7,"5,667.3",94.4
Arizona Cardinals,39.0,11.9,8.8,13.2,2.3,0.0,427.0,"6,029.7",94.2
Carolina Panthers,36.9,11.6,8.3,11.3,2.3,0.0,403.1,"5,555.4",90.1
