Player,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
,,RUSHING,RECEIVING,MISC,,,,,
Christian McCaffrey SF,RB1,273.0,"1,290.0",11.6,69.9,567.4,4.8,1.7,350.9
CeeDee Lamb DAL,WR1,9.8,68.2,0.8,116.1,"1,488.5",9.7,1.1,332.7
Tyreek Hill MIA,WR2,5.2,30.5,0.1,110.2,"1,541.6",9.8,1.0,325.2
Breece Hall NYJ,RB2,249.3,"1,128.0",8.1,66.8,529.0,3.8,1.4,301.0
Amon-Ra St. Brown DET,WR3,4.5,31.1,0.1,111.0,"1,354.4",8.2,0.9,297.4
Ja'Marr Chase CIN,WR4,3.0,12.6,0.1,106.6,"1,358.0",9.1,0.7,297.3
Bijan Robinson ATL,RB3,240.6,"1,100.7",7.3,65.7,536.4,4.3,2.2,294.8
Justin Jefferson MIN,WR5,1.2,3.8,0.0,104.8,"1,443.2",7.4,1.0,291.8
A.J. Brown PHI,WR6,0.0,1.4,0.0,94.1,"1,338.8",8.4,1.3,275.6
Puka Nacua LAR,WR7,8.9,54.7,0.2,94.6,"1,297.2",7.2,0.7,272.5
Saquon Barkley PHI,RB4,269.4,"1,139.3",9.1,48.3,347.4,3.0,1.7,266.2
Garrett Wilson NYJ,WR8,3.9,19.2,0.1,95.3,"1,188.1",8.1,1.3,262.6
Jonathan Taylor IND,RB5,283.3,"1,269.2",10.1,37.2,278.9,1.6,1.4,259.3
Jahmyr Gibbs DET,RB6,202.6,941.3,8.4,54.6,390.0,2.2,1.4,248.7
Chris Olave NO,WR9,0.0,1.0,0.0,89.8,"1,204.9",6.5,0.6,248.5
Kyren Williams LAR,RB7,254.4,"1,147.8",10.2,35.5,259.2,2.0,1.7,245.9
Davante Adams LV,WR10,0.0,1.0,0.0,93.3,"1,131.6",6.5,0.5,244.6
Marvin Harrison Jr. ARI,WR11,0.5,3.6,0.0,88.3,"1,177.4",6.8,1.5,244.1
Drake London ATL,WR12,0.0,2.2,0.0,88.0,"1,149.1",7.0,0.9,243.4
Alvin Kamara NO,RB8,203.4,798.7,5.3,68.1,480.9,2.3,0.9,239.6
Travis Etienne Jr. JAC,RB9,250.0,"1,024.2",8.2,46.1,357.9,1.2,1.3,237.9
Nico Collins HOU,WR13,1.4,8.6,0.0,78.4,"1,148.9",7.4,0.5,237.7
Mike Evans TB,WR14,0.0,1.2,0.0,75.6,"1,120.9",8.4,0.5,237.1
Rachaad White TB,RB10,239.0,926.1,6.6,53.5,403.9,2.4,1.7,237.0
Cooper Kupp LAR,WR15,2.9,17.4,0.1,85.8,"1,059.4",7.3,0.5,236.3
DeVonta Smith PHI,WR16,0.0,1.2,0.0,85.6,"1,094.4",7.2,0.9,236.2
Isiah Pacheco KC,RB11,238.6,"1,065.8",8.5,41.0,274.0,2.0,1.4,235.2
James Cook BUF,RB12,237.8,"1,054.0",5.2,45.1,383.0,2.8,1.4,234.2
Derrick Henry BAL,RB13,266.5,"1,193.3",11.1,24.4,195.7,0.9,1.0,233.4
Michael Pittman Jr. IND,WR17,0.3,3.0,0.0,96.5,"1,061.5",5.0,1.0,231.1
Deebo Samuel Sr. SF,WR18,33.9,199.4,3.0,67.0,925.7,5.9,1.0,230.7
Travis Kelce KC,TE1,2.3,7.5,0.0,89.5,967.4,7.5,0.8,230.5
De'Von Achane MIA,RB14,174.9,906.1,7.2,45.5,347.8,2.9,0.9,229.7
DK Metcalf SEA,WR19,0.0,1.2,0.0,73.9,"1,069.6",8.1,0.5,228.6
Jaylen Waddle MIA,WR20,3.6,21.1,0.1,81.4,"1,114.3",5.7,0.5,228.3
Brandon Aiyuk SF,WR21,0.8,4.0,0.0,74.2,"1,117.0",7.1,0.9,227.3
Stefon Diggs HOU,WR22,1.9,9.1,0.1,85.0,"1,028.8",6.6,1.0,226.6
Josh Jacobs GB,RB15,249.4,"1,034.5",8.3,38.5,293.2,1.1,1.0,225.4
Joe Mixon HOU,RB16,247.0,968.7,7.6,40.0,303.6,2.2,0.9,224.2
DJ Moore CHI,WR23,2.3,15.1,0.2,75.5,"1,036.8",7.0,0.9,222.1
Malik Nabers NYG,WR24,0.5,5.0,0.0,80.6,"1,076.4",5.9,1.2,221.6
