Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
,RUSHING,RECEIVING,MISC,,,,,
Christian McCaffrey SF,273.0,"1,290.0",11.6,69.9,567.4,4.8,1.7,350.9
Breece Hall NYJ,249.3,"1,128.0",8.1,66.8,529.0,3.8,1.4,301.0
Bijan Robinson ATL,240.6,"1,100.7",7.3,65.7,536.4,4.3,2.2,294.8
Saquon Barkley PHI,269.4,"1,139.3",9.1,48.3,347.4,3.0,1.7,266.2
Jonathan Taylor IND,283.3,"1,269.2",10.1,37.2,278.9,1.6,1.4,259.3
Jahmyr Gibbs DET,202.6,941.3,8.4,54.6,390.0,2.2,1.4,248.7
Kyren Williams LAR,254.4,"1,147.8",10.2,35.5,259.2,2.0,1.7,245.9
Alvin Kamara NO,203.4,798.7,5.3,68.1,480.9,2.3,0.9,239.6
Travis Etienne Jr. JAC,250.0,"1,024.2",8.2,46.1,357.9,1.2,1.3,237.9
Rachaad White TB,239.0,926.1,6.6,53.5,403.9,2.4,1.7,237.0
Isiah Pacheco KC,238.6,"1,065.8",8.5,41.0,274.0,2.0,1.4,235.2
James Cook BUF,237.8,"1,054.0",5.2,45.1,383.0,2.8,1.4,234.2
Derrick Henry BAL,266.5,"1,193.3",11.1,24.4,195.7,0.9,1.0,233.4
De'Von Achane MIA,174.9,906.1,7.2,45.5,347.8,2.9,0.9,229.7
Josh Jacobs GB,249.4,"1,034.5",8.3,38.5,293.2,1.1,1.0,225.4
Joe Mixon HOU,247.0,968.7,7.6,40.0,303.6,2.2,0.9,224.2
Kenneth Walker III SEA,238.3,996.7,8.9,29.1,225.1,1.0,0.9,209.3
Aaron Jones MIN,185.8,856.8,5.4,43.3,317.9,2.0,1.0,202.9
Rhamondre Stevenson NE,213.7,885.8,5.7,41.6,284.9,0.8,1.0,196.1
Zamir White LV,235.1,988.4,5.7,32.9,230.5,0.8,1.3,191.4
David Montgomery DET,202.8,893.3,9.8,22.4,168.0,0.8,0.9,190.5
James Conner ARI,201.6,883.1,6.7,32.6,222.6,1.4,0.9,189.8
Najee Harris PIT,241.4,962.9,6.7,29.0,182.8,1.2,1.0,188.9
Jaylen Warren PIT,145.5,697.7,3.9,48.3,330.2,1.7,1.4,182.3
D'Andre Swift CHI,178.3,810.4,5.2,36.1,248.5,1.6,1.0,180.5
Javonte Williams DEN,197.3,811.6,4.6,40.3,241.4,1.5,0.9,180.4
Raheem Mostert MIA,168.6,803.1,8.4,25.0,175.6,1.3,1.0,179.4
Tony Pollard TEN,190.2,821.2,5.6,33.9,233.9,0.8,0.9,176.3
Devin Singletary NYG,196.3,848.1,5.0,33.0,213.6,0.7,1.0,171.2
Brian Robinson Jr. WAS,184.6,774.1,5.3,28.8,243.8,1.8,1.5,170.3
Austin Ekeler WAS,124.1,516.6,4.1,46.4,371.5,2.0,1.7,168.7
Tyjae Spears TEN,142.8,623.9,3.6,43.3,337.2,1.5,0.9,168.4
Zack Moss CIN,168.5,730.8,5.8,28.2,196.0,1.4,0.5,162.8
Chase Brown CIN,140.1,609.8,4.0,36.9,301.1,1.9,0.6,161.8
Ezekiel Elliott DAL,172.7,670.9,5.7,29.8,197.9,1.3,1.0,157.2
Gus Edwards LAC,186.0,794.5,7.1,15.2,131.9,0.4,1.3,149.8
Nick Chubb CLE,160.1,766.2,5.4,18.5,146.5,0.6,0.9,144.2
Jonathon Brooks CAR,161.3,702.5,4.6,23.7,182.4,0.9,1.6,142.2
Jerome Ford CLE,147.8,580.6,3.6,30.6,218.2,1.8,0.8,141.6
J.K. Dobbins LAC,134.0,565.7,3.9,23.9,180.4,1.5,0.9,129.0
Antonio Gibson NE,116.2,443.3,2.3,37.7,283.7,1.2,1.4,128.8
Zach Charbonnet SEA,115.3,498.9,3.0,32.8,222.4,0.8,0.8,126.4
Rico Dowdle DAL,145.0,551.4,3.7,22.4,173.4,1.3,0.4,123.7
Ty Chandler MIN,145.5,595.1,4.3,20.7,151.9,0.6,0.8,123.5
Chuba Hubbard CAR,139.9,563.1,3.6,25.6,177.1,0.5,0.9,122.7
Tyler Allgeier ATL,134.8,556.4,3.9,21.3,169.9,1.2,0.8,122.7
Blake Corum LAR,130.6,548.5,4.2,19.5,151.7,0.7,1.5,116.2
Jaleel McLaughlin DEN,97.5,470.4,2.6,28.3,183.1,1.0,0.8,113.5
Trey Benson ARI,130.8,567.1,3.9,17.9,131.2,0.8,1.5,112.8
Khalil Herbert CHI,147.9,597.0,3.4,16.6,114.6,0.9,0.8,111.5
MarShawn Lloyd GB,102.2,405.3,3.2,16.4,130.8,1.0,1.1,92.9
Kendre Miller NO,83.8,342.8,2.4,21.3,169.8,1.0,0.8,91.5
Ray Davis BUF,88.0,380.1,2.9,16.1,132.5,0.6,1.2,85.7
Clyde Edwards-Helaire KC,76.0,297.9,1.9,19.6,165.0,1.3,0.5,84.0
Alexander Mattison LV,113.7,421.1,2.6,13.5,89.6,1.0,0.9,84.0
Bucky Irving TB,96.6,367.9,2.5,15.1,121.1,0.7,1.4,80.4
Braelon Allen NYJ,99.8,396.7,2.9,11.0,85.9,0.7,0.8,79.5
Jamaal Williams NO,101.2,382.3,2.8,15.0,84.5,0.2,0.5,78.5
