Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
,RECEIVING,RUSHING,MISC,,,,,
CeeDee Lamb DAL,116.1,"1,488.5",9.7,9.8,68.2,0.8,1.1,332.7
Tyreek Hill MIA,110.2,"1,541.6",9.8,5.2,30.5,0.1,1.0,325.2
Amon-Ra St. Brown DET,111.0,"1,354.4",8.2,4.5,31.1,0.1,0.9,297.4
Ja'Marr Chase CIN,106.6,"1,358.0",9.1,3.0,12.6,0.1,0.7,297.3
Justin Jefferson MIN,104.8,"1,443.2",7.4,1.2,3.8,0.0,1.0,291.8
A.J. Brown PHI,94.1,"1,338.8",8.4,0.0,1.4,0.0,1.3,275.6
Puka Nacua LAR,94.6,"1,297.2",7.2,8.9,54.7,0.2,0.7,272.5
Garrett Wilson NYJ,95.3,"1,188.1",8.1,3.9,19.2,0.1,1.3,262.6
Chris Olave NO,89.8,"1,204.9",6.5,0.0,1.0,0.0,0.6,248.5
Davante Adams LV,93.3,"1,131.6",6.5,0.0,1.0,0.0,0.5,244.6
Marvin Harrison Jr. ARI,88.3,"1,177.4",6.8,0.5,3.6,0.0,1.5,244.1
Drake London ATL,88.0,"1,149.1",7.0,0.0,2.2,0.0,0.9,243.4
Nico Collins HOU,78.4,"1,148.9",7.4,1.4,8.6,0.0,0.5,237.7
Mike Evans TB,75.6,"1,120.9",8.4,0.0,1.2,0.0,0.5,237.1
Cooper Kupp LAR,85.8,"1,059.4",7.3,2.9,17.4,0.1,0.5,236.3
DeVonta Smith PHI,85.6,"1,094.4",7.2,0.0,1.2,0.0,0.9,236.2
Michael Pittman Jr. IND,96.5,"1,061.5",5.0,0.3,3.0,0.0,1.0,231.1
Deebo Samuel Sr. SF,67.0,925.7,5.9,33.9,199.4,3.0,1.0,230.7
DK Metcalf SEA,73.9,"1,069.6",8.1,0.0,1.2,0.0,0.5,228.6
Jaylen Waddle MIA,81.4,"1,114.3",5.7,3.6,21.1,0.1,0.5,228.3
Brandon Aiyuk SF,74.2,"1,117.0",7.1,0.8,4.0,0.0,0.9,227.3
Stefon Diggs HOU,85.0,"1,028.8",6.6,1.9,9.1,0.1,1.0,226.6
DJ Moore CHI,75.5,"1,036.8",7.0,2.3,15.1,0.2,0.9,222.1
Malik Nabers NYG,80.6,"1,076.4",5.9,0.5,5.0,0.0,1.2,221.6
Amari Cooper CLE,73.2,"1,106.4",6.3,0.0,1.0,0.0,0.9,219.7
Zay Flowers BAL,79.6,965.0,6.2,7.4,46.3,0.6,1.0,219.3
Chris Godwin TB,83.1,989.0,5.3,2.7,20.9,0.3,0.5,216.1
George Pickens PIT,70.8,"1,089.3",6.1,2.6,16.9,0.0,0.9,216.1
Tee Higgins CIN,70.5,"1,012.8",7.3,0.0,1.0,0.0,0.5,214.7
